DZ,Dzname,SIMD_Overall.Rank,SIMD_Income.Rank,SIMD_Employment.Rank,SIMD_Health.Rank,SIMD_Crime.Count,SIMD_Crime.Rank,Population,Working.Age.Population,University.Qual,Lacode,Laname,SPCcode,SPCname,Postcode
S01009776,Nitshill - 02,106,65,137,176,36,810,652,409,0.10,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 7PY
S01009777,Nitshill - 03,492,500,399,784,25,927,483,331,0.06,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 6LL
S01009778,Nitshill - 04,190,77,276,186,23,2379,809,466,0.04,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 6RY
S01009779,Nitshill - 05,296,157,1165,187,37,700,625,374,0.02,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 7AU
S01009780,Nitshill - 06,92,223,200,83,38,833,695,487,0.01,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 6QW
S01009781,Nitshill - 07,541,328,887,532,22,1624,583,360,0.06,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 6QL
S01009782,Nitshill - 08,1590,2042,1971,1603,25,1954,754,523,0.02,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 6QP
S01009783,Nitshill - 09,358,529.5,368,178,8,4814,689,487,0.06,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 6UB
S01009784,Crookston South - 01,247,210,512,139,23,2034,715,476,0.03,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 6BJ
S01009785,Crookston South - 02,468,474,621,254,28,1740,778,517,0.05,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 6SB
S01009786,Crookston South - 03,186,109,313,197,72,404,934,589,0.03,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 5JU
S01009787,Crookston South - 04,94,118,192,101,32,1355,755,450,0.02,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 6AW
S01009788,Crookston North - 01,1731,1706,1648.5,1423,16,3599,859,561,0.09,S12000049,Glasgow City,S16000119,Glasgow Pollok,G53 5EA
